Date,Open,High,Low,Close,Volume,Change
2022-07-12,78100,79300,77600,78700,1072282,0.00897435897
2022-07-13,78800,80500,78000,79800,1268356,0.0139771283
2022-07-14,78800,79700,78200,78800,1274628,-0.0125313283
2022-07-15,79300,79300,77000,79100,1124239,0.0038071066
2022-07-18,79900,80500,79000,80100,920632,0.012642225
2022-07-19,79500,82100,79500,82100,1564515,0.024968789
2022-07-20,83100,83200,81500,81600,1326440,-0.00609013398
2022-07-21,81700,83700,80700,82000,1627950,0.00490196078
2022-07-22,82300,83000,80000,80900,2171648,-0.0134146341
2022-07-25,81300,83300,81200,82300,1609816,0.0173053152
2022-07-26,82000,82500,81100,82500,916020,0.00243013366
2022-07-27,82400,82400,79700,80800,1979637,-0.0206060606
2022-07-28,81500,81800,80100,80500,1244658,-0.00371287129
2022-07-29,80800,81500,80400,81200,1386182,0.00869565217
2022-08-01,80700,81300,80200,80400,1076252,-0.00985221675
2022-08-02,81100,81500,80600,81200,1235041,0.00995024876
2022-08-03,81300,81500,80200,81300,826712,0.00123152709
2022-08-04,81700,81800,80700,81300,928079,0
2022-08-05,81500,81900,80300,80500,1082833,-0.0098400984
2022-08-08,80500,81500,80000,81400,970648,0.0111801242
2022-08-09,81700,81900,80700,81500,956573,0.00122850123
2022-08-10,81400,81500,80700,80700,628447,-0.00981595092
2022-08-11,81400,81500,80200,80800,1200789,0.00123915737
2022-08-12,80800,82400,80400,82400,1508627,0.0198019802
2022-08-16,82700,82800,81200,82000,817498,-0.00485436893
2022-08-17,81300,81900,78100,78700,2196306,-0.0402439024
2022-08-18,77500,77800,76500,76700,2165092,-0.0254129606
2022-08-19,77300,77900,76500,77200,1602176,0.00651890482
2022-08-22,76500,78100,76300,77400,975563,0.00259067358
2022-08-23,77000,78100,77000,77400,1088262,0
2022-08-24,77200,78200,76100,76600,1189786,-0.0103359173
2022-08-25,76900,79100,76900,79100,1039468,0.0326370757
2022-08-26,79000,79800,78600,78900,780703,-0.00252844501
2022-08-29,77000,78100,77000,77500,747352,-0.0177439797
2022-08-30,78000,80100,77900,80100,1047591,0.0335483871
2022-08-31,79400,80800,79300,80800,1334049,0.00873907615
2022-09-01,79600,81000,78600,80200,1210194,-0.00742574257
2022-09-02,80900,82600,80300,80800,1379416,0.00748129676
2022-09-05,81000,81600,80500,81000,657587,0.00247524752
2022-09-06,80800,81700,80500,81400,622838,0.0049382716
2022-09-07,81500,82700,81300,82300,1524189,0.0110565111
2022-09-08,82700,82700,80100,80900,1386173,-0.0170109356
2022-09-13,80300,81300,79100,81300,1465046,0.00494437577
2022-09-14,79400,81000,79300,80300,1081881,-0.012300123
2022-09-15,80900,81400,80000,80000,799235,-0.00373599004
2022-09-16,80000,81300,79900,81100,1358942,0.01375
2022-09-19,80500,81400,80000,80800,676114,-0.00369913687
2022-09-20,81200,81400,80200,80400,702213,-0.00495049505
2022-09-21,80000,80100,78800,79700,721083,-0.00870646766
2022-09-22,78800,80000,78600,79200,807799,-0.00627352572
2022-09-23,79200,79200,77600,77600,686516,-0.0202020202
2022-09-26,76600,76700,74500,74800,1056001,-0.0360824742
2022-09-27,75400,76500,74800,76500,992152,0.0227272727
2022-09-28,75700,76600,73100,73900,1331903,-0.0339869281
2022-09-29,74200,75600,74000,74500,1189442,0.00811907984
2022-09-30,74000,74800,71700,71900,1400931,-0.0348993289
2022-10-04,72400,73400,71900,72800,1061016,0.0125173853
2022-10-05,73900,74500,69100,71100,2170561,-0.0233516484
